id;device_name;device_id;device_token;device_type;device_os;notification_enabled;last_activity_details;last_active_date;last_active_location;app_version;force_login;status;login_date_time;exit_date;created_date;updated_date
1;Generic New Virtual;Peso Cotton Specialist;monitoring auxiliary;MOBILE_PHONE;navigate;true;Borders;2022-04-29;interface;encompassing project;true;DELETED;2022-04-29T06:04:12;2022-04-29T14:33:21;2022-04-28T21:57:48;2022-04-28T17:19:38
2;convergence Sports;attitude Forward indexing;Global generate;LAPTOP;defect;true;Buckinghamshire virtual;2022-04-29;Cambridgeshire Liaison generation;Beauty Dinar;true;SUSPENDED;2022-04-29T13:51:10;2022-04-29T03:06:24;2022-04-29T04:19:49;2022-04-29T00:27:09
3;Research Music connecting;secondary;Usability;TABLET;SQL;false;cyan Louisiana Lesotho;2022-04-28;enterprise;withdrawal;false;DELETED;2022-04-28T20:38:29;2022-04-28T14:51:13;2022-04-29T00:30:55;2022-04-29T13:05:18
4;Sausages Steel Buckinghamshire;Oklahoma Practical;Mouse Berkshire;OTHER;Oklahoma;true;Knoll algorithm;2022-04-28;Savings homogeneous optical;AI Boliviano;true;UN_INSTALLED;2022-04-29T12:39:11;2022-04-29T04:17:20;2022-04-28T21:15:39;2022-04-29T14:17:20
5;violet Avon end-to-end;Lead;Dynamic;TABLET;Leu;false;Squares models;2022-04-29;full-range static green;Accounts Object-based PCI;false;INACTIVE;2022-04-29T05:23:18;2022-04-29T14:19:34;2022-04-29T12:55:51;2022-04-28T17:07:25
6;Tuna;Branding Bike;Towels;MOBILE_PHONE;olive UAE invoice;false;e-tailers synthesize protocol;2022-04-29;back indexing Internal;capacitor Credit;true;DELETED;2022-04-29T11:15:26;2022-04-29T06:30:52;2022-04-29T10:31:53;2022-04-29T05:58:23
7;Kyat;Shirt Buckinghamshire;Krone;MOBILE_PHONE;Direct Michigan;false;SCSI enterprise Steel;2022-04-29;Toys payment;invoice Technician;true;UN_INSTALLED;2022-04-29T00:11:31;2022-04-29T09:57:57;2022-04-29T05:37:16;2022-04-28T15:55:16
8;firmware customized port;Ridge;Licensed;TABLET;Bedfordshire;true;Junction;2022-04-29;deposit Plastic Identity;cyan multi-tasking;false;ACTIVE;2022-04-28T20:45:56;2022-04-28T16:04:55;2022-04-28T16:38:57;2022-04-29T11:49:07
9;Fresh COM digital;National;Executive;MOBILE_PHONE;repurpose Macedonia Account;true;Motorway Unbranded;2022-04-29;Movies;TCP bifurcated Turks;false;INACTIVE;2022-04-29T06:23:01;2022-04-29T03:55:46;2022-04-28T21:18:38;2022-04-28T15:09:55
10;Orchestrator;Squares Pula generate;quantify Direct;DESKTOP;Ranch content;true;Account Factors;2022-04-28;system grid-enabled iterate;asymmetric schemas;false;INACTIVE;2022-04-28T21:39:52;2022-04-29T01:00:41;2022-04-28T22:17:44;2022-04-29T02:19:56
