id;subscription_name;subscription_title;subscription_type;subscription_price;subscription_quantity;subscription_period;subscription_terms;status;created_date;updated_date
1;Internal;override;PAID;82291;38469;95010;payment;SUSPENDED;2022-04-29T09:10:23;2022-04-29T05:28:01
2;Bedfordshire XSS;matrix synthesize;PROMOTION;84552;62694;43424;bleeding-edge User-friendly Fresh;ACTIVE;2022-04-29T13:12:21;2022-04-28T15:08:25
3;Landing Avon full-range;emulation Grocery;PAID;52501;20236;62425;Tunisia Route Peso;INACTIVE;2022-04-28T15:14:11;2022-04-28T17:20:21
4;withdrawal wireless;optimize;FREE;41556;1565;56289;Credit dynamic Grass-roots;ACTIVE;2022-04-29T03:43:10;2022-04-28T20:14:21
5;Beauty;Account;FREE;20908;30495;72280;superstructure connect;ACTIVE;2022-04-29T10:58:43;2022-04-29T04:59:36
6;Liaison transmit;Island Investment invoice;OTHER;98542;54683;98033;Internal Refined incubate;INACTIVE;2022-04-28T16:03:39;2022-04-28T21:31:51
7;Stand-alone;microchip Mouse instruction;PAID;50643;90361;16908;Cambridgeshire;ACTIVE;2022-04-29T03:29:21;2022-04-28T16:32:42
8;e-enable reboot Forward;Gloves line Moldova;OTHER;20951;39006;4972;channels synthesizing;DELETED;2022-04-28T23:13:43;2022-04-29T09:20:02
9;card Human;e-services Ergonomic up;PROMOTION;59406;60670;43438;Cotton Vermont Specialist;SUSPENDED;2022-04-29T01:15:21;2022-04-28T17:52:08
10;action-items;navigate calculate;OTHER;91572;73645;44662;Cambridgeshire;SUSPENDED;2022-04-29T11:52:45;2022-04-28T23:41:41
